Eyes,Nose,Mouth,File Name,Encoded
Eyes without the iris and pupil (completely white),,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the iris and pupil (completely white),,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the iris and pupil (completely white),,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the iris and pupil (completely white),,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the iris and pupil (completely white),,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWlsaW5nIC0gb3Blbg==
Eyes without the iris and pupil (completely white),,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWlsaW5nIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the iris and pupil (completely white),Larger nose,,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zZQ==
Eyes without the iris and pupil (completely white),Larger nose,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zZUxhcmdlciBtb3V0aCAtIG9wZW4=
Eyes without the iris and pupil (completely white),Larger nose,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zZUxhcmdlciBtb3V0aCAtIGNsb3NlZA==
Eyes without the iris and pupil (completely white),Larger nose,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zZUZ1bGxlciBsaXBzIC0gb3Blbg==
Eyes without the iris and pupil (completely white),Larger nose,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zZUZ1bGxlciBsaXBzIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),Larger nose,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zZVRoaW5uZXIgbGlwcyAtIG9wZW4=
Eyes without the iris and pupil (completely white),Larger nose,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zZVRoaW5uZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the iris and pupil (completely white),Larger nose,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zZVNtaWxpbmcgLSBvcGVu
Eyes without the iris and pupil (completely white),Larger nose,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zZVNtaWxpbmcgLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Larger nose,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zZU1vdXRoIG9wZW4gd2l0aCB0ZWV0aCB2aXNpYmxl
Eyes without the iris and pupil (completely white),Smaller nose,,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc2U=
Eyes without the iris and pupil (completely white),Smaller nose,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc2VMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the iris and pupil (completely white),Smaller nose,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc2VMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Smaller nose,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc2VGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the iris and pupil (completely white),Smaller nose,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc2VGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the iris and pupil (completely white),Smaller nose,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc2VUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the iris and pupil (completely white),Smaller nose,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc2VUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Smaller nose,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc2VTbWlsaW5nIC0gb3Blbg==
Eyes without the iris and pupil (completely white),Smaller nose,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc2VTbWlsaW5nIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),Smaller nose,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc2VNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the iris and pupil (completely white),Larger nostrils,,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zdHJpbHM=
Eyes without the iris and pupil (completely white),Larger nostrils,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zdHJpbHNMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the iris and pupil (completely white),Larger nostrils,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zdHJpbHNMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Larger nostrils,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zdHJpbHNGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the iris and pupil (completely white),Larger nostrils,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zdHJpbHNGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the iris and pupil (completely white),Larger nostrils,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zdHJpbHNUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the iris and pupil (completely white),Larger nostrils,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zdHJpbHNUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Larger nostrils,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zdHJpbHNTbWlsaW5nIC0gb3Blbg==
Eyes without the iris and pupil (completely white),Larger nostrils,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zdHJpbHNTbWlsaW5nIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),Larger nostrils,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlMYXJnZXIgbm9zdHJpbHNNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the iris and pupil (completely white),Smaller nostrils,,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc3RyaWxz
Eyes without the iris and pupil (completely white),Smaller nostrils,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gb3Blbg==
Eyes without the iris and pupil (completely white),Smaller nostrils,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),Smaller nostrils,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBvcGVu
Eyes without the iris and pupil (completely white),Smaller nostrils,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Smaller nostrils,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gb3Blbg==
Eyes without the iris and pupil (completely white),Smaller nostrils,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),Smaller nostrils,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc3RyaWxzU21pbGluZyAtIG9wZW4=
Eyes without the iris and pupil (completely white),Smaller nostrils,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc3RyaWxzU21pbGluZyAtIGNsb3NlZA==
Eyes without the iris and pupil (completely white),Smaller nostrils,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlTbWFsbGVyIG5vc3RyaWxzTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
Eyes without the iris and pupil (completely white),Wider bridge,,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlXaWRlciBicmlkZ2U=
Eyes without the iris and pupil (completely white),Wider bridge,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlXaWRlciBicmlkZ2VMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the iris and pupil (completely white),Wider bridge,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlXaWRlciBicmlkZ2VMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Wider bridge,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlXaWRlciBicmlkZ2VGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the iris and pupil (completely white),Wider bridge,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlXaWRlciBicmlkZ2VGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the iris and pupil (completely white),Wider bridge,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlXaWRlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the iris and pupil (completely white),Wider bridge,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlXaWRlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Wider bridge,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlXaWRlciBicmlkZ2VTbWlsaW5nIC0gb3Blbg==
Eyes without the iris and pupil (completely white),Wider bridge,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlXaWRlciBicmlkZ2VTbWlsaW5nIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),Wider bridge,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlXaWRlciBicmlkZ2VNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the iris and pupil (completely white),Narrower bridge,,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOYXJyb3dlciBicmlkZ2U=
Eyes without the iris and pupil (completely white),Narrower bridge,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOYXJyb3dlciBicmlkZ2VMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the iris and pupil (completely white),Narrower bridge,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOYXJyb3dlciBicmlkZ2VMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Narrower bridge,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOYXJyb3dlciBicmlkZ2VGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the iris and pupil (completely white),Narrower bridge,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOYXJyb3dlciBicmlkZ2VGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the iris and pupil (completely white),Narrower bridge,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOYXJyb3dlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the iris and pupil (completely white),Narrower bridge,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOYXJyb3dlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Narrower bridge,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOYXJyb3dlciBicmlkZ2VTbWlsaW5nIC0gb3Blbg==
Eyes without the iris and pupil (completely white),Narrower bridge,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOYXJyb3dlciBicmlkZ2VTbWlsaW5nIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),Narrower bridge,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOYXJyb3dlciBicmlkZ2VNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the iris and pupil (completely white),Broader/wider,,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlCcm9hZGVyL3dpZGVy
Eyes without the iris and pupil (completely white),Broader/wider,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlCcm9hZGVyL3dpZGVyTGFyZ2VyIG1vdXRoIC0gb3Blbg==
Eyes without the iris and pupil (completely white),Broader/wider,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlCcm9hZGVyL3dpZGVyTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),Broader/wider,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlCcm9hZGVyL3dpZGVyRnVsbGVyIGxpcHMgLSBvcGVu
Eyes without the iris and pupil (completely white),Broader/wider,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlCcm9hZGVyL3dpZGVyRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Broader/wider,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlCcm9hZGVyL3dpZGVyVGhpbm5lciBsaXBzIC0gb3Blbg==
Eyes without the iris and pupil (completely white),Broader/wider,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlCcm9hZGVyL3dpZGVyVGhpbm5lciBsaXBzIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),Broader/wider,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlCcm9hZGVyL3dpZGVyU21pbGluZyAtIG9wZW4=
Eyes without the iris and pupil (completely white),Broader/wider,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlCcm9hZGVyL3dpZGVyU21pbGluZyAtIGNsb3NlZA==
Eyes without the iris and pupil (completely white),Broader/wider,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlCcm9hZGVyL3dpZGVyTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
Eyes without the iris and pupil (completely white),No visible nostrils,,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlObyB2aXNpYmxlIG5vc3RyaWxz
Eyes without the iris and pupil (completely white),No visible nostrils,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlObyB2aXNpYmxlIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gb3Blbg==
Eyes without the iris and pupil (completely white),No visible nostrils,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlObyB2aXNpYmxlIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),No visible nostrils,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlObyB2aXNpYmxlIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBvcGVu
Eyes without the iris and pupil (completely white),No visible nostrils,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlObyB2aXNpYmxlIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),No visible nostrils,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlObyB2aXNpYmxlIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gb3Blbg==
Eyes without the iris and pupil (completely white),No visible nostrils,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlObyB2aXNpYmxlIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gY2xvc2Vk
Eyes without the iris and pupil (completely white),No visible nostrils,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlObyB2aXNpYmxlIG5vc3RyaWxzU21pbGluZyAtIG9wZW4=
Eyes without the iris and pupil (completely white),No visible nostrils,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlObyB2aXNpYmxlIG5vc3RyaWxzU21pbGluZyAtIGNsb3NlZA==
Eyes without the iris and pupil (completely white),No visible nostrils,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlObyB2aXNpYmxlIG5vc3RyaWxzTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
Eyes without the iris and pupil (completely white),Nostrils upturned (allowing the users to see into the nostrils a bit),,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdCk=
Eyes without the iris and pupil (completely white),Nostrils upturned (allowing the users to see into the nostrils a bit),Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the iris and pupil (completely white),Nostrils upturned (allowing the users to see into the nostrils a bit),Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the iris and pupil (completely white),Nostrils upturned (allowing the users to see into the nostrils a bit),Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the iris and pupil (completely white),Nostrils upturned (allowing the users to see into the nostrils a bit),Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the iris and pupil (completely white),Nostrils upturned (allowing the users to see into the nostrils a bit),Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the iris and pupil (completely white),Nostrils upturned (allowing the users to see into the nostrils a bit),Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSlOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
